Date,Value
2023-06-20,23.74507122951685
2023-06-21,22.79608515615206
2023-06-22,23.981458799753995
2023-06-23,25.303876621727277
2023-06-24,22.68046688484914
2023-06-25,22.695812815230152
2023-06-26,25.434111024145878
2023-06-27,24.23766486915196
2023-06-28,22.406463899775343
2023-06-29,23.95161340874197
2023-06-30,22.472672393220698
2023-07-01,22.502149310964608
2023-07-02,23.5995426076799
2023-07-03,20.405434310441354
2023-07-04,20.729622732400944
2023-07-05,22.518090570085764
2023-07-06,21.889662544956877
2023-07-07,23.930519115342516
2023-07-08,22.15018812941421
2023-07-09,21.44966691723631
2023-07-10,25.82529997825386
2023-07-11,23.349656056138716
2023-07-12,23.853878193000142
2023-07-13,21.68248223227494
2023-07-14,23.07278303053935
2023-07-15,24.12820751116977
2023-07-16,22.310492792547706
2023-07-17,24.678361062325934
2023-07-18,23.294335749780412
2023-07-19,23.840858528301204
2023-07-20,23.461546188189793
2023-07-21,27.230807117873464
2023-07-22,24.522978951880003
2023-07-23,23.05001823301832
2023-07-24,25.966259649769086
2023-07-25,22.999504467467926
2023-07-26,25.244834457424954
2023-07-27,22.095215195852127
2023-07-28,23.14800483713088
2023-07-29,25.543490817033057
2023-07-30,26.46613402500147
2023-07-31,25.72800983517721
2023-08-01,25.41226356437195
2023-08-02,25.251080916585
2023-08-03,23.604141766763206
2023-08-04,24.863499826978327
2023-08-05,25.37576710186875
2023-08-06,27.777949456898657
2023-08-07,26.835279543885804
2023-08-08,23.804885787313033
2023-08-09,27.06713599530507
2023-08-10,26.136882358860255
2023-08-11,25.834511269688598
2023-08-12,27.90465042057406
2023-08-13,28.672690139684764
2023-08-14,28.663938442390613
2023-08-15,26.15075078824817
2023-08-16,27.090007069652735
2023-08-17,28.196616940545532
2023-08-18,29.310540604259817
2023-08-19,27.27752452194783
2023-08-20,27.86837864593247
2023-08-21,26.63942012137877
2023-08-22,26.658097892298972
2023-08-23,29.826066694268253
2023-08-24,30.797847723295593
2023-08-25,28.812976109668604
2023-08-26,30.585042063238063
2023-08-27,29.78214954226357
2023-08-28,28.433123220187625
2023-08-29,30.105111019931368
2023-08-30,32.0333471580204
2023-08-31,29.83684009421527
2023-09-01,32.402795539971535
2023-09-02,26.2923789875319
2023-09-03,31.621884025588148
2023-09-04,30.68745263165926
2023-09-05,30.276991753341846
2023-09-06,31.03248430972037
2023-09-07,28.083500168468177
2023-09-08,30.905976348535436
2023-09-09,31.94235395305334
2023-09-10,33.79524721608093
2023-09-11,30.973191720419102
2023-09-12,30.710466956792324
2023-09-13,31.343550967981564
2023-09-14,33.6425870762427
2023-09-15,32.936175365508745
2023-09-16,31.82218979334341
2023-09-17,33.56067834074829
2023-09-18,33.11045534965984
2023-09-19,34.59193210283689
2023-09-20,32.26002331993406
2023-09-21,32.99570982857243
2023-09-22,33.073051653526086
2023-09-23,31.63981207229498
2023-09-24,34.452944368901086
2023-09-25,34.57378429559855
2023-09-26,34.3630161809187
2023-09-27,34.17626636527924
2023-09-28,32.57749787037091
2023-09-29,34.24154827087315
2023-09-30,34.52991174178665
2023-10-01,34.01148964747392
2023-10-02,35.1433037364663
2023-10-03,36.16099018092591
